Name,Method_Name__c,Found_In__c,Unique_Identiier__c
checkTRARecordsExist,ParcelManagementHandler.checkTRARecordsExist,ParcelManagementHandler.executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate | ParcelManagementHandler.checkTRARecordsExist
setBlockNumber,ParcelManagementHandler.setBlockNumber,ParcelManagementHandler.executeBeforeInsert,ParcelManagementHandler.executeBeforeInsert | ParcelManagementHandler.setBlockNumber
setBlockNumber,ParcelManagementHandler.setBlockNumber,ParcelManagementHandler.executeBeforeUpdate,ParcelManagementHandler.executeBeforeUpdate | ParcelManagementHandler.setBlockNumber
pgmtEventDateProcess,ParcelManagementHandler.pgmtEventDateProcess,ParcelManagementHandler.executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate | ParcelManagementHandler.pgmtEventDateProcess
createPersonAcctAndOwnership,ParcelManagementHandler.createPersonAcctAndOwnership,ParcelManagementHandler.pgmtEventDateProcess,ParcelManagementHandler.pgmtEventDateProcess | ParcelManagementHandler.createPersonAcctAndOwnership
deleteChildRelatedRecords,ParcelManagementHandler.deleteChildRelatedRecords,ParcelManagementHandler.pgmtEventDateProcess,ParcelManagementHandler.pgmtEventDateProcess | ParcelManagementHandler.deleteChildRelatedRecords
createChildOwnershipRecords,ParcelManagementHandler.createChildOwnershipRecords,ParcelManagementHandler.pgmtEventDateProcess,ParcelManagementHandler.pgmtEventDateProcess | ParcelManagementHandler.createChildOwnershipRecords
updateRelatedPropertyEvents,ParcelManagementHandler.updateRelatedPropertyEvents,ParcelManagementHandler.executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate | ParcelManagementHandler.updateRelatedPropertyEvents
cloneHomeExemptionPropertyEvents,ParcelManagementHandler.cloneHomeExemptionPropertyEvents,ParcelManagementHandler.executeAfterUpdate,ParcelManagementHandler.executeAfterUpdate | ParcelManagementHandler.cloneHomeExemptionPropertyEvents
getFields,ParcelManagementHandler.getFields,AnnualRPRollBatchSync.start,AnnualRPRollBatchSync.start | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,RPPropertyHandler.createQueryForPropertyCharacClone,RPPropertyHandler.createQueryForPropertyCharacClone | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,ManagePEExemptionsController.saveValuationRecords,ManagePEExemptionsController.saveValuationRecords | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,BatchToSendRPAssessmentsToTTX.start,BatchToSendRPAssessmentsToTTX.start | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,fairMarketValuePIController.createOwnershipBaseYear,fairMarketValuePIController.createOwnershipBaseYear | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,ExceptionRecordsForPropertyController.fetchCases,ExceptionRecordsForPropertyController.fetchCases | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,ExceptionRecordsForPropertyController.fetchPropertyEvents,ExceptionRecordsForPropertyController.fetchPropertyEvents | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,ExceptionRecordsForPropertyController.fetchValuations,ExceptionRecordsForPropertyController.fetchValuations | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,Prop19BaseYearController.createOwnershipBaseYear,Prop19BaseYearController.createOwnershipBaseYear | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,AnnualRollBatchSync.start,AnnualRollBatchSync.start | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,AssessmentsUtility.setDefaultValueForCurrencyAndNumberField,AssessmentsUtility.setDefaultValueForCurrencyAndNumberField | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,DescribeUtility.getFieldSet,DescribeUtility.getFieldSet | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,FieldSetUtility.getFields,FieldSetUtility.getFields | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,RecordChangeValidator.hasAnyFieldChanged,RecordChangeValidator.hasAnyFieldChanged | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,RecordDetailFieldsController.getFieldStringListFromFieldSet,RecordDetailFieldsController.getFieldStringListFromFieldSet | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,RollCorrectionBatchSync.start,RollCorrectionBatchSync.start | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,TriggerHandler.preventChangesToLockedRecords,TriggerHandler.preventChangesToLockedRecords | ParcelManagementHandler.getFields
getFields,ParcelManagementHandler.getFields,SandboxPostRefreshObfuscateBatch.execute,SandboxPostRefreshObfuscateBatch.execute | ParcelManagementHandler.getFields
assignDocumentCategoryReceivedOnPEUpdate,PropertyEventMappingDocumentHandler.assignDocumentCategoryReceivedOnPEUpdate,RPPropertyEventHandler.afterUpdateProcessing,RPPropertyEventHandler.afterUpdateProcessing | PropertyEventMappingDocumentHandler.assignDocumentCategoryReceivedOnPEUpdate
assignDocumentCategoryReceivedOnPEInsert,PropertyEventMappingDocumentHandler.assignDocumentCategoryReceivedOnPEInsert,RPPropertyEventHandler.afterInsertProcessing,RPPropertyEventHandler.afterInsertProcessing | PropertyEventMappingDocumentHandler.assignDocumentCategoryReceivedOnPEInsert
executeBeforeInsert,AssessmentPropertyEventHandler.executeBeforeInsert,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | AssessmentPropertyEventHandler.executeBeforeInsert
executeAfterInsert,AssessmentPropertyEventHandler.executeAfterInsert,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | AssessmentPropertyEventHandler.executeAfterInsert
executeBeforeUpdate,AssessmentPropertyEventHandler.executeBeforeUpdate,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | AssessmentPropertyEventHandler.executeBeforeUpdate
executeAfterUpdate,AssessmentPropertyEventHandler.executeAfterUpdate,TriggerHandler.executeCustomCode,TriggerHandler.executeCustomCode | AssessmentPropertyEventHandler.executeAfterUpdate
setTemporaryTypeOnAssessments,AssessmentPropertyEventHandler.setTemporaryTypeOnAssessments,AsyncSetTempTypeOnAssessments.execute,AsyncSetTempTypeOnAssessments.execute | AssessmentPropertyEventHandler.setTemporaryTypeOnAssessments
pouplateParentAPEfield,AssessmentPropertyEventHandler.pouplateParentAPEfield,CreateRPAssessmentsServiceHandler.createorUpdateCORforAssessments,CreateRPAssessmentsServiceHandler.createorUpdateCORforAssessments | AssessmentPropertyEventHandler.pouplateParentAPEfield
processrecords,PermitStagingStatusUpdateHelper.processrecords,CreateIssuedPermitsToPropertyEventBatch.execute,CreateIssuedPermitsToPropertyEventBatch.execute | PermitStagingStatusUpdateHelper.processrecords
processrecords,PermitStagingStatusUpdateHelper.processrecords,CreateStatusUpdatesToPropertyEventBatch.execute,CreateStatusUpdatesToPropertyEventBatch.execute | PermitStagingStatusUpdateHelper.processrecords
processrecords,PermitStagingStatusUpdateHelper.processrecords,CreateInspectionNotesInPEBatch.execute,CreateInspectionNotesInPEBatch.execute | PermitStagingStatusUpdateHelper.processrecords
processrecords,PermitStagingStatusUpdateHelper.processrecords,BatchRecorderStagingReindexedRecords.execute,BatchRecorderStagingReindexedRecords.execute | PermitStagingStatusUpdateHelper.processrecords
processrecords,PermitStagingStatusUpdateHelper.processrecords,BatchRecorderStagingToPropertyEvents.execute,BatchRecorderStagingToPropertyEvents.execute | PermitStagingStatusUpdateHelper.processrecords
processrecords,PermitStagingInspectionNotesHelper.processrecords,CreateIssuedPermitsToPropertyEventBatch.execute,CreateIssuedPermitsToPropertyEventBatch.execute | PermitStagingInspectionNotesHelper.processrecords
processrecords,PermitStagingInspectionNotesHelper.processrecords,CreateStatusUpdatesToPropertyEventBatch.execute,CreateStatusUpdatesToPropertyEventBatch.execute | PermitStagingInspectionNotesHelper.processrecords
processrecords,PermitStagingInspectionNotesHelper.processrecords,CreateInspectionNotesInPEBatch.execute,CreateInspectionNotesInPEBatch.execute | PermitStagingInspectionNotesHelper.processrecords
processrecords,PermitStagingInspectionNotesHelper.processrecords,BatchRecorderStagingReindexedRecords.execute,BatchRecorderStagingReindexedRecords.execute | PermitStagingInspectionNotesHelper.processrecords
processrecords,PermitStagingInspectionNotesHelper.processrecords,BatchRecorderStagingToPropertyEvents.execute,BatchRecorderStagingToPropertyEvents.execute | PermitStagingInspectionNotesHelper.processrecords
validateDateFormat,ReadCSV.validateDateFormat,PermitStagingStatusUpdateHelper.checkFieldValidations,PermitStagingStatusUpdateHelper.checkFieldValidations | ReadCSV.validateDateFormat
